full_tone_period_a	full_tone_period_b	full_tone_period_c	volumeA	volumeB	volumeC	mask_a	mask_b	mask_c	full_envelope_period	envelope_shape	noise_period
866	140	157	15	15	11	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	186	12	0	8	0|1|0	1|1|0	0|1|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	313	235	8	11	11	0|1|0	0|1|0	0|1|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	157	0	0	8	0|1|0	1|1|0	0|1|0	0	0	0
0	0	186	16	15	11	1|1|0	0|1|0	0|1|0	29	10	0
0	0	235	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	140	157	0	11	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	186	0	0	8	1|1|0	1|1|0	0|1|0	0	0	0
866	0	235	15	15	13	0|1|0	0|1|0	0|1|0	0	0	0
1058	141	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	142	157	12	0	9	0|0|0	0|0|0	0|0|0	0	0	0
226	143	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	144	186	8	0	13	0|0|0	0|0|0	0|0|0	0	0	0
0	145	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	146	235	0	0	9	0|0|0	0|0|0	0|0|0	0	0	0
0	147	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	313	157	16	11	13	1|1|0	0|1|0	0|1|0	0	10	0
0	0	186	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	235	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	157	0	0	9	0|0|0	0|0|0	0|0|0	0	0	0
866	157	186	15	15	11	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	235	12	0	8	0|1|0	1|1|0	0|1|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	140	157	8	11	11	0|1|0	0|1|0	0|1|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	186	0	0	8	0|0|0	0|0|0	0|0|0	0	0	0
0	372	235	16	15	11	1|1|0	0|1|0	0|1|0	0	10	0
0	0	157	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	157	186	0	11	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	235	0	0	8	1|1|0	1|1|0	0|1|0	0	0	0
866	0	157	15	15	11	0|1|0	0|1|0	0|1|0	0	0	0
1058	158	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	159	186	12	0	8	0|0|0	0|0|0	0|0|0	0	0	0
226	160	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	161	235	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	162	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	163	157	0	0	8	0|0|0	0|0|0	0|0|0	0	0	0
0	164	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	372	186	16	11	11	1|1|0	0|1|0	0|1|0	0	10	0
0	0	235	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	157	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	186	0	0	8	0|0|0	0|0|0	0|0|0	0	0	0
866	176	209	15	15	13	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	249	12	0	9	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	157	313	8	11	13	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	209	0	0	9	0|0|0	0|0|0	0|0|0	0	0	0
0	352	249	16	15	13	1|1|0	0|1|0	0|1|0	39	10	0
0	0	313	0	0	0	1|1|0	1|1|0	0|1|0	0	0	0
